연령대,총_주중_이용시간,총_주말_이용시간,평균_주중_빈도,평균_주말_빈도,편중_HHI_주중,편중_HHI_주말,B1,C1,is_outlier_3-5세,is_outlier_6-8세,is_outlier_9-11세,cluster_3-5세,dist_3-5세,margin_3-5세,cluster_6-8세,dist_6-8세,margin_6-8세,cluster_9-11세,dist_9-11세,margin_9-11세
3-5세,90,120,0.75,0.25,1.0,1.0,3,6,0.0,,,1.0,0.9397479925010206,2.05254645094284,,,,,,
3-5세,125,120,1.5,0.25,0.9232,1.0,3,3,0.0,,,1.0,0.9494336999545507,1.6910768679575194,,,,,,
3-5세,480,840,2.75,1.25,0.46875,0.4591836734693877,3,5,0.0,,,0.0,1.435458114652639,3.2527076460556685,,,,,,
3-5세,218,150,2.5,0.5,0.3434896052520832,0.6800000000000002,3,6,0.0,,,2.0,1.6637208743244476,0.06163157032917277,,,,,,
3-5세,180,180,2.75,1.25,0.3333333333333333,0.3888888888888889,3,4,0.0,,,2.0,0.8068080320893284,1.5237669182217513,,,,,,
3-5세,90,180,3.75,1.5,0.3333333333333333,0.3333333333333333,4,3,0.0,,,2.0,1.6578986724072138,1.380439910630861,,,,,,
3-5세,420,420,3.75,1.5,0.346938775510204,0.346938775510204,6,3,0.0,,,0.0,2.481149833482479,0.8489933461735166,,,,,,
3-5세,180,120,1.5,1.0,0.5555555555555556,0.5,4,4,0.0,,,2.0,1.3932035258139288,0.05200452295166014,,,,,,
3-5세,80,240,1.25,0.5,0.625,0.625,5,4,0.0,,,1.0,0.922471144440467,1.0436049730977726,,,,,,
3-5세,0,120,0.0,0.5,0.0,1.0,6,6,0.0,,,1.0,1.6867735305899787,1.6684793301648768,,,,,,
3-5세,62,61,1.5,0.5,0.9682622268470344,1.0,6,6,0.0,,,1.0,0.8118422847611683,1.9290538289958588,,,,,,
3-5세,120,300,0.75,1.25,1.0,0.3600000000000001,5,5,0.0,,,2.0,1.8108458802357064,0.35767667697474237,,,,,,
3-5세,60,90,1.0,1.0,0.5,0.5555555555555556,5,6,0.0,,,2.0,1.0863664555611994,1.0719299726499472,,,,,,
3-5세,1,60,0.25,0.25,1.0,1.0,5,5,0.0,,,1.0,1.3663015818181354,2.2708492457025193,,,,,,
3-5세,150,180,1.5,0.5,0.6800000000000002,1.0,4,4,0.0,,,1.0,0.9263711880358468,1.0809444901954435,,,,,,
3-5세,63,363,1.75,1.0,0.9380196523053664,0.4972565626209502,3,3,0.0,,,2.0,1.6124064274293284,0.516910379034889,,,,,,
3-5세,540,900,3.75,1.5,0.3333333333333333,0.3333333333333333,3,2,0.0,,,0.0,1.1984642148619697,4.254192015996898,,,,,,
3-5세,130,130,1.75,1.0,0.8579881656804735,0.8579881656804735,3,5,0.0,,,1.0,1.174372960501191,0.47567161977129224,,,,,,
3-5세,40,50,1.25,0.75,1.0,0.6800000000000002,5,5,0.0,,,1.0,0.8750163339685045,1.7372517511891439,,,,,,
3-5세,300,360,1.75,0.75,0.52,0.5,4,4,0.0,,,2.0,1.4927150388750146,1.181349254566433,,,,,,
3-5세,80,150,2.0,1.5,0.34375,0.3600000000000001,3,3,0.0,,,2.0,1.5767531770076202,0.683952417266732,,,,,,
3-5세,60,60,1.25,0.5,1.0,1.0,3,9,0.0,,,1.0,0.8023934557688049,2.0319919769809176,,,,,,
3-5세,120,315,3.0,1.0,0.5138888888888888,0.909297052154195,2,9,0.0,,,2.0,1.1265668944195446,1.185705003017143,,,,,,
3-5세,120,120,1.5,0.5,0.5,0.5,5,5,0.0,,,2.0,0.7404493079982988,1.2719271768633402,,,,,,
3-5세,480,660,2.5,1.0,0.53125,0.6033057851239669,4,6,0.0,,,0.0,1.9896715924164452,1.6675050633604296,,,,,,
